,0
1354,95.39868
1355,95.409004
1356,95.42189
1357,95.43941
1358,95.45875
1359,95.48638
1360,95.52064
1361,95.56255
1362,95.62169
1363,95.71154
1364,95.865974
1365,96.10707
1366,93.41623
1367,92.38431
1368,93.90243
1369,93.91048
1370,93.91556
1371,93.91552
1372,93.91326
1373,93.90987
1374,93.906075
1375,93.90228
1376,93.899734
1377,93.89511
1378,93.88989
1379,93.88513
1380,93.88084
1381,93.876884
1382,93.87113
1383,93.86629
1384,93.86159
1385,93.85694
1386,93.85173
1387,93.84625
1388,93.841095
1389,93.83605
1390,93.83184
1391,93.8274
1392,93.82243
1393,93.81852
1394,93.81562
1395,93.81083
1396,93.80666
1397,93.80342
1398,93.800224
1399,93.79696
1400,93.79389
1401,93.79314
1402,93.79109
1403,93.79058
1404,93.790764
1405,93.79047
1406,93.7909
1407,93.79039
1408,93.79121
1409,93.79102
1410,93.79217
1411,93.794044
1412,93.79398
1413,93.79478
1414,93.79543
1415,93.79682
1416,93.79669
1417,93.796135
1418,93.79834
1419,93.79927
1420,93.79769
1421,93.79726
1422,93.79778
1423,93.79707
1424,93.796135
1425,93.79611
1426,93.79576
1427,93.794
1428,93.79414
1429,93.793365
1430,93.79091
1431,93.79161
1432,93.79149
1433,93.789604
1434,93.78773
1435,93.787704
1436,93.78735
1437,93.785446
1438,93.78498
1439,93.78424
1440,93.78424
1441,93.78252
1442,93.78229
1443,93.7803
1444,93.77999
1445,93.77896
1446,93.77765
1447,93.77718
1448,93.77628
1449,93.77483
1450,93.773125
1451,93.77443
1452,93.77206
1453,93.770134
1454,93.77028
1455,93.76987
1456,93.769554
1457,93.76763
1458,93.766205
1459,93.766075
1460,93.76445
1461,93.762886
1462,93.761314
1463,93.76041
1464,93.76024
1465,93.75779
1466,93.757614
1467,93.75726
1468,93.7565
1469,93.75389
1470,93.75299
1471,93.75203
1472,93.7513
1473,93.74817
1474,93.748604
1475,93.74764
1476,93.74701
1477,93.74584
1478,93.74503
1479,93.74367
1480,93.74256
1481,93.73979
1482,93.739265
1483,93.73805
1484,93.735085
1485,93.735634
1486,93.732445
1487,93.73094
1488,93.728836
1489,93.72765
1490,93.72655
1491,93.72409
1492,93.72214
1493,93.720505
1494,93.71914
1495,93.7166
1496,93.714424
1497,93.71208
1498,93.71181
1499,93.709625
1500,93.706505
1501,93.70529
1502,93.70363
1503,93.70216
1504,93.699684
1505,93.69772
1506,93.696304
1507,93.69316
1508,93.68998
1509,93.68887
1510,93.68714
1511,93.68418
1512,93.68212
1513,93.680595
1514,93.677704
1515,93.6764
1516,93.67303
1517,93.671135
1518,93.66822
1519,93.66681
1520,93.66338
1521,93.662476
1522,93.65916
1523,93.65737
1524,93.65498
1525,93.653625
1526,93.65063
1527,93.64819
1528,93.64645
1529,93.644455
1530,93.64227
1531,93.64176
1532,93.63973
1533,93.63707
1534,93.63708
1535,93.63607
1536,93.63526
1537,93.63585
1538,93.63534
1539,93.63649
1540,93.63712
1541,93.638245
1542,93.641594
1543,93.64466
1544,93.65152
1545,93.65845
1546,93.66559
1547,93.67789
1548,93.69106
1549,93.710724
1550,93.73176
1551,93.76085
1552,93.79799
1553,93.847565
1554,93.920006
1555,94.03962
1556,94.25787
1557,93.39464
1558,92.366615
1559,93.88268
1560,93.89266
1561,93.897285
1562,93.8961
1563,93.893425
1564,93.89114
1565,93.88749
1566,93.88375
1567,93.88007
1568,93.87491
1569,93.87081
1570,93.864334
1571,93.861
1572,93.85556
1573,93.85193
1574,93.84641
1575,93.84171
1576,93.8373
1577,93.83345
1578,93.82734
1579,93.82191
1580,93.81694
1581,93.81102
1582,93.807625
1583,93.80339
1584,93.79847
1585,93.794624
1586,93.7902
1587,93.78721
1588,93.784035
1589,93.781006
1590,93.77773
1591,93.775635
1592,93.77362
1593,93.77277
1594,93.771484
1595,93.7711
1596,93.77104
1597,93.77186
1598,93.771484
1599,93.772766
1600,93.771515
1601,93.77383
1602,93.77344
1603,93.77648
1604,93.7754
1605,93.77764
1606,93.77651
1607,93.77738
1608,93.77794
1609,93.777534
1610,93.77753
1611,93.77773
1612,93.7778
1613,93.77733
1614,93.77861
1615,93.77654
1616,93.77632
1617,93.77554
1618,93.77422
1619,93.77408
1620,93.773155
1621,93.77216
1622,93.7713
1623,93.76978
1624,93.77031
1625,93.76874
1626,93.76792
1627,93.76847
1628,93.76565
1629,93.76546
1630,93.76445
1631,93.763275
1632,93.76276
1633,93.76163
1634,93.759094
1635,93.75744
1636,93.75889
1637,93.75779
1638,93.75725
1639,93.755844
1640,93.7545
1641,93.75427
1642,93.75233
1643,93.75308
1644,93.75124
1645,93.75019
1646,93.748314
1647,93.74826
1648,93.74685
1649,93.74581
1650,93.74521
